timestamp,symbol,side,entry_price,exit_price,pnl,balance,reason
2026-01-28 17:30:38,ETH/USDT,LONG,3022.95,3036.89,1.6661,1001.67,EXIT
2026-01-28 18:49:07,ETH/USDT,LONG,3035.0,3033.16,-0.1914,1001.47,EXIT
2026-01-28 19:17:50,ETH/USDT,LONG,3035.0,3036.99,0.231,1001.71,EXIT
2026-01-28 20:17:06,ETH/USDT,LONG,3028.14,3013.0,-1.8064,999.9,EXIT
2026-01-28 21:09:21.077764,BTC/USDT,EXIT,0.0011,89400.2,0.0643,1000.06,FINAL
2026-01-28 22:53:35.122064,BTC/USDT,EXIT,0.0011,89528.8,-0.0964,999.97,FINAL
2026-01-29 00:03:00.666294,BTC/USDT,EXIT,0.0011,89733.2,-0.1769,999.79,FINAL
2026-01-30 12:56:11.061686,BTC/USDT,EXIT,0.00181,82734.01,-0.25,999.75,EXIT
2026-01-30 15:56:16.783922,BTC/USDT,EXIT,0.00182,82533.63,0.23,999.98,EXIT
2026-02-02 01:26:11.309576,BTC/USDT,LONG,77650.39,77115.73,-0.07,999.93
2026-02-02 01:26:11.617161,ETH/USDT,SHORT,2342.24,2311.99,0.13,1000.06
2026-02-02 02:11:20.772033,ETH/USDT,SHORT,2316.35,2341.05,-0.11,999.95
2026-02-02 02:41:26.512040,BTC/USDT,LONG,77093.21,76626.43,-0.06,999.89
2026-02-02 02:41:26.927589,ETH/USDT,SHORT,2328.42,2296.62,0.13,1000.03
2026-02-02 03:06:31.912578,ETH/USDT,SHORT,2302.3,2316.19,-0.06,999.97
2026-02-02 03:26:35.614377,ETH/USDT,SHORT,2317.89,2282.57,0.15,1000.12
2026-02-02 03:41:38.578035,ETH/USDT,SHORT,2289.89,2320.13,-0.13,999.98
2026-02-02 04:16:45.077330,BTC/USDT,LONG,76809.99,77536.8,0.1,1000.08
2026-02-02 04:36:48.974125,BTC/USDT,LONG,77360.01,76234.74,-0.14,999.93
2026-02-02 04:36:49.281705,ETH/USDT,SHORT,2320.58,2262.13,0.25,1000.18
2026-02-02 04:46:51.390602,ETH/USDT,SHORT,2234.8,2250.29,-0.07,1000.11
2026-02-02 04:56:53.458271,ETH/USDT,SHORT,2237.04,2255.35,-0.08,1000.03
2026-02-02 05:06:55.093591,BTC/USDT,LONG,76065.6,77441.11,0.18,1000.21
2026-02-02 05:06:55.391722,ETH/USDT,SHORT,2250.41,2293.12,-0.19,1000.02
2026-02-02 05:32:00.375134,ETH/USDT,SHORT,2291.09,2254.16,0.16,1000.18
2026-02-02 05:42:02.591071,ETH/USDT,SHORT,2273.62,2290.85,-0.08,1000.1
2026-02-02 06:42:14.350913,BTC/USDT,LONG,77168.8,77006.93,-0.02,1000.08
2026-02-02 06:42:14.657032,ETH/USDT,SHORT,2311.69,2265.29,0.2,1000.28
2026-02-02 06:57:17.941535,ETH/USDT,SHORT,2277.72,2308.7,-0.14,1000.14
2026-02-02 08:17:33.422964,BTC/USDT,LONG,77171.44,76847.54,-0.04,1000.1
2026-02-02 08:17:33.784495,ETH/USDT,SHORT,2298.68,2270.23,0.12,1000.22
2026-02-02 08:42:38.539602,BTC/USDT,LONG,76713.99,76068.94,-0.08,1000.13
2026-02-02 08:42:38.837642,ETH/USDT,SHORT,2269.21,2240.36,0.13,1000.26
2026-02-02 08:52:40.544223,BTC/USDT,LONG,75800.77,75200.0,-0.08,1000.18
2026-02-02 08:52:40.851510,ETH/USDT,SHORT,2230.7,2187.75,0.19,1000.37
2026-02-02 09:07:43.875175,BTC/USDT,LONG,75329.12,74869.61,-0.06,1000.31
2026-02-02 09:17:46.221098,ETH/USDT,SHORT,2183.19,2197.06,-0.06,1000.25
2026-02-02 09:22:46.846796,BTC/USDT,LONG,74717.49,75881.16,0.16,1000.4
2026-02-02 09:37:49.865560,BTC/USDT,LONG,76192.49,75641.96,-0.07,1000.33
2026-02-02 09:57:54.411937,BTC/USDT,LONG,75392.76,76441.37,0.14,1000.47
2026-02-02 09:57:54.820367,ETH/USDT,SHORT,2231.02,2261.0,-0.14,1000.34
2026-02-02 10:38:03.150612,BTC/USDT,LONG,76269.62,75622.01,-0.08,1000.25
